its my job	é o meu trabalho
wholl cook	quem cozinhará
help me	ajudemme
i sat down	eu me sentei
im worn out	estou exausto
dogs can swim	cachorros nadam
lets start	comecemos
we have some	temos algum
lets swim	nademos
may i smoke	posso fumar
look here	olhe aqui
i was wrong	eu errei
tom grumbled	tom resmungou
ill sing	cantarei
is that all	isso é tudo
youve tried	vocês tentaram
i try	tento
hes so young	ele é tão jovem
im a hero	eu sou uma heroína
were mature	somos maduros
did tom swim	o tom nadou
she needs it	ela precisa disso
have some tea	beba um pouco de chá
im a baker	eu sou padeiro
lets play	vamos jogar
toms unsure	o tom está em dúvida
this works	isto funciona
youre right	você tem razão
beat it	vaza
you tried	vocês tentaram
dont tell me	não me fale
we hate tom	nós odiamos tom
its awesome	é demais
is this true	isto é verdade
i will obey	obedecerei
tom hates tv	o tom detesta tv
be sensible	tem bom senso
are you new	vocês são novos
come on in	entre
he turned	ele fez dezesseis
they hate me	me odeiam
im small	eu sou pequeno
is it rainy	o tempo está chuvoso
im at work	eu estou no trabalho
i drank milk	bebi leite
youre nuts	estás doido
dont cheat	não cole
dont do this	não faça isso
tom wants it	o tom quer isso
forget it	esqueça
tom gave up	tom desistiu
keep digging	continue cavando
im a man	eu sou homem
come on	qual é
were shy	somos tímidos
he is happy	ele está feliz
you can come	vocês podem vir
get up	levantese
im involved	eu estou envolvido
are you free	você está livre
tom hurt me	tom me machucou
please leave	vá embora por favor
follow us	siganos
i am a runner	eu sou corredor
aim higher	mire mais alto
im brave	eu sou corajoso
he has braces	ele usa aparelho
i understand	eu compreendo
he is cranky	ele é ranzinza
it was weird	foi estranho
is it cloudy	está nublado
i lost it	eu o perdi
i saw one	eu vi um
i did my best	fiz o melhor que me foi possível
i do like tom	eu gosto muito do tom
jesus wept	jesus chorou
im starving	estou morrendo de fome
ill ask tom	eu irei perguntar ao tom
youre old	tu és velho
i heard you	eu te escutei
dont smile	não sorria
look back	olhe para trás
excuse me	o quê
was it fun	foi divertido
we found it	nós encontramos
just relax	apenas relaxe
be reasonable	seja razoável
i was lucky	eu tive sorte
i will wait	eu vou esperar
that hurts	isso machuca
is that it	é isso
tom slipped	tom escorregou
i didnt know	eu não sabia
come quickly	venha rápido
is that mine	essa é a minha
i liked it	eu gostei
let tom rest	deixe tom descansar
i left tom	eu deixei tom
get upstairs	subam
ill go back	eu vou voltar
i am human	eu sou humano
im so sorry	eu sinto muito
you drive	você dirige
its huge	é enorme
dont be sad	não fique triste
hes not sick	ele não está enfermo
are they gone	elas se foram
is he right	ele está certo
they won	elas ganharam
im in paris	eu estou em paris
tom shrugged	tom deu de ombros
i tried	tentei
never mind	não se preocupe
talk to me	fale comigo
i am happy	me sinto feliz
i had fun	eu me diverti
shut up	calate
no one knows	ninguém sabe
are you rich	você é rico
it was wet	estava molhado
were strong	nós somos fortes
he is eating	está comendo
tom lost	o tom perdeu
did you help	você ajudou
dont speak	não falem
bring backup	traga reforços
i will try	eu tentarei
they danced	eles dançaram
i like women	eu gosto de mulheres
i knew that	eu sabia disso
i came alone	eu vim sozinho
youre needy	você está carente
they cheered	eles aplaudiram
i like you	gosto de você
birds fly	pássaros voam
i am coming	estou vindo
i wont go	não irei
how about you	e você
stop reading	pare de ler
tom insisted	tom insistiu
well drive	nós vamos dirigir
i do want it	eu quero muito isso
im not tall	não sou alto
welcome	seja bemvinda
toms glad	tom está contente
of course	claro
i am eating	eu estou comendo
ill see tom	eu vou ver o tom
well follow	nós seguiremos
it works	funciona
read this	leiam isso
youre fools	vocês são otários
im sorry	desculpa
they crashed	elas colidiram
were awake	nós estamos acordados
war is evil	a guerra é má
ill leave	eu vou embora
tom has come	o tom veio
i like both	eu gosto de ambos
theyre home	eles estão em casa
are we lost	estamos perdidos
well share	nós compartilharemos
dont run	não corra
im inside	estou dentro
are you fat	você é gordo
forget tom	esqueçam o tom
tom swims	tom nada
im a woman	eu sou mulher
who did that	quem foi que fez isso
im with him	estou com ele
leave us	deixenos
well scream	nós iremos gritar
calm down	aquieta o facho
please wait	espere por favor
tom broke it	tom quebrouo
look out	cuidado
forgive tom	perdoem o tom
i am japanese	sou japonês
we know that	nós sabemos disso
are they gone	eles foram embora
i need sugar	eu preciso de açúcar
come alone	venha sozinho
a car went by	um carro passou
please stop	pare por favor
we have hope	temos esperança
relax	relaxa
let me swim	deixeme nadar
please sing	por favor cante
please come	venha por favor
well start	iremos começar
i will go	eu vou
i want to go	quero ir
we sat down	nós nos sentamos
i miss you	saudades
i ate a donut	eu comi uma rosquinha
here he is	aqui está ele
nobody cares	ninguém está nem aí
i woke up	eu acordei
ill stop	eu vou parar
toms weird	o tom está estranho
is tom lost	o tom está perdido
any questions	alguma pergunta
sit there	senta aí
get upstairs	sobe
see you	até logo
i dont cry	eu não choro
who spoke	quem falou
theyll fail	elas fracassarão
youre small	tu és pequeno
toms awake	o tom está acordado
has tom come	tom veio
ask around	perguntem por aí
look closer	olhe mais de perto
i love you	eu o amo
ask tom again	pergunte mais uma vez ao tom
i am eating	estou comendo
i saw a dog	vi um cachorro
well go	nós iremos
can i come	posso vir
tom sneezed	tom espirrou
we lost	perdemos
dont let go	não solta
thats weird	isso é esquisito
take it	pegueo
say hello	cumprimenta
welcome	bemvindo
were better	nós estamos melhor
excuse me	desculpa
we got lost	enganámonos no caminho
excuse me	desculpe
i can be good	eu posso ser bom
she was busy	ela estava ocupada
is it hot	está calor
im scared	estou assustado
please sing	cantem por favor
i am american	eu sou americano
its	são
was it cold	estava fazendo frio
thats mine	é minha
stop yelling	pare de gritar
are you fit	você está em forma
tom retired	tom se aposentou
im finished	já terminei
hows school	como vai a escola
im standing	eu estou de pé
well share	compartilharemos
i need a nap	preciso de um cochilo
youre mine	você é minha
im eating	estou a comer
we liked tom	nós gostamos do tom
dont respond	não respondam
let me see	deixemme ver
no one cared	ninguém ligou
i made it up	eu inventei
are we alone	estamos sozinhos
i hear you	estou te ouvindo
this is ok	está ok
tom has it	tom tem
take command	assuma o comando
be quiet now	fique quieto agora
i remember	lembro
he can swim	ele consegue nadar
can i try it	posso tentar
im a purist	sou um purista
check that	verifiquem isso
i phoned him	eu liguei para ele
im useless	eu sou inútil
i drink wine	eu bebo vinho
im selfish	eu sou egoísta
i sell shoes	eu vendo sapatos
it may rain	pode ser que chova
he is tall	ele é alto
they lied	eles mentiram
how exciting	que massa
who fell	quem caiu
